Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1933-34,Real Sociedad,4,1,2,1,0,1,0,1,1,3,0,3,4,4,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Oviedo,3,4,2,4,1,1,1,2,3,2,1,6,3,0,5,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Valencia,2,3,1,3,0,5,0,2,1,6,1,2,1,7,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Espanyol,0,5,0,5,1,3,1,2,3,3,2,3,4,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Barcelona,7,0,3,2,2,2,3,6,1,0,3,0,4,0,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Arenas,3,4,1,4,0,2,1,6,2,2,0,4,1,9,1,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-35,Betis,0,1,0,0,0,4,1,1,0,0,1,0,4,0,3,2,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Madrid,1,1,0,0,2,4,1,1,4,2,1,1,0,2,1,2,2,1,2,0,5,1,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Oviedo,4,2,1,3,5,1,2,0,3,0,3,2,3,0,2,3,1,1,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,
1934-35,Athletic Club,0,1,1,0,6,1,2,0,1,0,2,3,2,1,3,2,5,5,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,
1934-35,Sevilla,0,4,1,4,2,0,3,1,3,3,0,1,1,1,0,2,3,3,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,
1934-35,Barcelona,0,2,0,1,2,4,2,3,1,8,2,2,0,2,0,4,2,3,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,
1934-35,Atlético de Madrid,4,1,2,3,3,2,4,2,3,0,2,0,2,2,0,1,2,1,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,
1934-35,Espanyol,1,3,5,2,7,1,0,1,1,2,8,2,1,4,2,4,2,0,5,1,5,2,,,,,,,,,,,,,,,,,,,,,,
1934-35,Valencia,3,2,0,3,1,3,0,5,1,4,3,1,0,4,1,4,1,5,0,3,4,1,,,,,,,,,,,,,,,,,,,,,,
1934-35,Racing de Santander,1,3,3,4,0,2,2,2,1,0,3,2,2,3,1,4,2,0,3,3,0,5,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Sociedad,2,2,4,2,1,1,0,4,4,7,0,3,2,1,0,4,7,3,5,4,4,7,,,,,,,,,,,,,,,,,,,,,,
1934-35,Arenas,4,1,3,3,1,4,4,8,2,0,2,2,2,0,1,3,2,2,1,4,1,6,,,,,,,,,,,,,,,,,,,,,,
1935-36,Athletic Club,3,0,1,2,1,2,0,1,2,0,4,2,1,3,2,1,1,1,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,
1935-36,Real Madrid,0,0,2,1,2,4,0,4,2,1,1,1,3,1,1,3,4,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,
