Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1930-31,Barcelona,Pedro Escartín Morán,Manuel Coll Compte,Tomás Balaguer García,Pedro Escartín Morán,Tomás Balaguer García,Santiago Ledesma,Eloy Hernández Areces,Ramón Melcón Bartolomé,Santiago Insausti,Tomás Balaguer García,Jesús Arribas Seijas,Tomás Balaguer García,Ramón Melcón Bartolomé,Julio Ostalé Gómez,Tomás Balaguer García,Julio Ostalé Gómez,Santiago Insausti,Pedro Vicente Saturnino Vallana Jeanguenat,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Arenas,Agustín Vilalta Bars,Pelayo Serrano de la Mata,José María Steimborn Ludeuvik,Alejandro Quintana,Tomás Balaguer García,Edmundo Gumb,Agustín Vilalta Bars,José María Steimborn Ludeuvik,Guillermo Comorera Gatuellas,Juan José Canga-Argüelles Ballesteros,Pelayo Serrano de la Mata,José María Steimborn Ludeuvik,Pedro Escartín Morán,Julio Ostalé Gómez,Edmundo Gumb,Ramón Melcón Bartolomé,Tomás Balaguer García,Ramón Melcón Bartolomé,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Madrid,Eloy Hernández Areces,Alejandro Quintana,José María Steimborn Ludeuvik,Pedro Vicente Saturnino Vallana Jeanguenat,Agustín Vilalta Bars,Santiago Insausti,Julio Ostalé Gómez,Pedro Vicente Saturnino Vallana Jeanguenat,Santiago Insausti,Julio Ostalé Gómez,Alejandro Quintana,José María Steimborn Ludeuvik,José María Steimborn Ludeuvik,Agustín Vilalta Bars,Pedro Vicente Saturnino Vallana Jeanguenat,Agustín Vilalta Bars,Alejandro Quintana,Pedro Vicente Saturnino Vallana Jeanguenat,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Unión,Agustín Vilalta Bars,Alejandro Quintana,Julio Ostalé Gómez,Pelayo Serrano de la Mata,Alejandro Quintana,Pedro Escartín Morán,Eloy Hernández Areces,Pedro Escartín Morán,Agustín Vilalta Bars,Juan José Canga-Argüelles Ballesteros,Alejandro Quintana,Eloy Hernández Areces,Eloy Hernández Areces,Alejandro Quintana,Pedro Escartín Morán,Julio Ostalé Gómez,Pelayo Serrano de la Mata,Alejandro Quintana,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Alavés,Ramón Melcón Bartolomé,Pelayo Serrano de la Mata,Ramón Melcón Bartolomé,Pedro Vicente Saturnino Vallana Jeanguenat,Agustín Vilalta Bars,Pedro Escartín Morán,José María Steimborn Ludeuvik,Ramón Melcón Bartolomé,Julio Ostalé Gómez,Guillermo Comorera Gatuellas,Pelayo Serrano de la Mata,Santiago Insausti,Pedro Vicente Saturnino Vallana Jeanguenat,Agustín Vilalta Bars,Pedro Escartín Morán,José María Steimborn Ludeuvik,Santiago Insausti,Agustín Vilalta Bars,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Espanyol,Eloy Hernández Areces,Julio Ostalé Gómez,Ramón Melcón Bartolomé,Alejandro Quintana,Alejandro Quintana,Santiago Ledesma,Guillermo Comorera Gatuellas,Santiago Insausti,Eloy Hernández Areces,Julio Ostalé Gómez,Ramón Melcón Bartolomé,Santiago Insausti,Pedro Escartín Morán,Alejandro Quintana,Tomás Balaguer García,Guillermo Comorera Gatuellas,Eloy Hernández Areces,Pelayo Serrano de la Mata,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Europa,José María Steimborn Ludeuvik,Manuel Coll Compte,Julio Ostalé Gómez,Pedro Vicente Saturnino Vallana Jeanguenat,Ramón Melcón Bartolomé,Eloy Hernández Areces,Guillermo Comorera Gatuellas,José María Steimborn Ludeuvik,Julio Ostalé Gómez,Pelayo Serrano de la Mata,Jesús Arribas Seijas,Eloy Hernández Areces,José María Steimborn Ludeuvik,Santiago Insausti,Antonio Adrados Martín,Guillermo Comorera Gatuellas,Tomás Balaguer García,Agustín Vilalta Bars,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Madrid,José María Steimborn Ludeuvik,Alejandro Quintana,Edmundo Gumb,Santiago Insausti,Jesús Arribas Seijas,Edmundo Gumb,Alejandro Quintana,Santiago Insausti,Luis Vicente Sanchis Orduña,Alejandro Quintana,Jesús Arribas Seijas,José María Steimborn Ludeuvik,Santiago Insausti,José María Steimborn Ludeuvik,Santiago Insausti,Agustín Vilalta Bars,Santiago Insausti,Santiago Insausti,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Athletic Club,José María Steimborn Ludeuvik,Pedro Vicente Saturnino Vallana Jeanguenat,Pedro Escartín Morán,José María Steimborn Ludeuvik,José Llovera Mas,Ramón Melcón Bartolomé,Luis Vicente Sanchis Orduña,Francisco Elorza,Tomás Balaguer García,Alejandro Quintana,Pedro Vicente Saturnino Vallana Jeanguenat,Alejandro Quintana,Pedro Escartín Morán,Guillermo Comorera Gatuellas,José Llovera Mas,Pedro Escartín Morán,Edmundo Gumb,Jesús Arribas Seijas,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Barcelona,Pedro Escartín Morán,Antonio Adrados Martín,José Llovera Mas,José María Steimborn Ludeuvik,Tomás Balaguer García,Pedro Escartín Morán,Tomás Balaguer García,Arturo López Espinosa,Luis Vicente Sanchis Orduña,Pedro Escartín Morán,Luis Vicente Sanchis Orduña,Ramón Melcón Bartolomé,Pedro Escartín Morán,Pedro Vicente Saturnino Vallana Jeanguenat,Santiago Ledesma,Tomás Balaguer García,Luis Vicente Sanchis Orduña,Santiago Insausti,,,,,,,,,,,,,,,,,,,,,,,,,,
