Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1934-35,Athletic Club,4,3,0,4,0,4,2,8,0,7,2,2,1,4,0,4,2,3,1,0,4,5,,,,,,,,,,,,,,,,,,,,,,
1934-35,Sevilla,4,2,5,0,1,2,1,3,2,0,0,0,3,4,3,4,2,1,3,4,2,7,,,,,,,,,,,,,,,,,,,,,,
1934-35,Barcelona,4,1,4,3,5,1,2,1,1,2,3,2,4,1,0,3,2,5,2,3,5,1,,,,,,,,,,,,,,,,,,,,,,
1934-35,Atlético de Madrid,0,3,0,1,1,4,0,5,3,2,2,1,2,2,0,3,0,3,0,1,5,2,,,,,,,,,,,,,,,,,,,,,,
1934-35,Espanyol,3,1,1,4,2,4,4,1,4,0,3,1,2,1,1,2,2,2,0,4,2,3,,,,,,,,,,,,,,,,,,,,,,
1934-35,Valencia,1,1,1,0,2,1,2,2,4,0,2,2,2,1,3,2,7,0,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,
1934-35,Racing de Santander,2,1,1,2,6,0,0,1,1,0,1,3,2,0,2,2,3,5,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Sociedad,1,1,0,3,0,3,4,0,1,0,0,2,0,2,1,2,1,1,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,
1934-35,Arenas,0,2,0,2,3,1,0,0,3,0,1,2,0,0,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Athletic Club,3,7,0,5,2,3,2,6,0,1,1,4,2,5,0,3,1,4,1,5,2,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Real Madrid,1,6,3,4,1,2,3,5,6,0,5,5,0,3,2,3,3,3,0,4,2,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Real Oviedo,3,1,2,6,5,2,5,4,4,5,1,2,0,2,4,0,2,5,1,0,5,4,,,,,,,,,,,,,,,,,,,,,,
1935-36,Racing de Santander,0,6,2,2,4,4,3,1,5,1,4,5,0,3,2,3,4,1,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Barcelona,0,5,2,4,0,5,0,1,2,0,1,2,3,0,1,2,1,0,5,2,1,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Hércules,0,0,1,1,2,2,2,2,2,4,0,1,1,3,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Betis,5,0,3,1,0,3,2,1,1,2,1,0,1,1,0,3,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Valencia,5,2,1,1,2,2,0,0,1,2,1,2,1,0,1,3,1,0,5,2,1,3,,,,,,,,,,,,,,,,,,,,,,
1935-36,Espanyol,1,0,3,2,3,1,2,2,0,6,0,0,3,1,2,0,3,1,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,
1935-36,Sevilla,0,1,1,1,2,3,0,0,1,1,1,1,0,0,2,3,2,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,
1935-36,Atlético de Madrid,1,1,2,0,1,0,1,3,1,2,1,2,0,1,2,1,5,1,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,
1935-36,Osasuna,1,3,0,4,1,6,1,0,2,2,4,6,0,6,0,2,0,3,0,1,4,0,,,,,,,,,,,,,,,,,,,,,,
1939-40,Atlético Aviación,3,0,3,3,1,2,1,2,0,4,0,3,2,5,2,2,0,4,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,
1939-40,Sevilla,3,3,8,1,1,2,4,2,3,2,1,3,4,3,4,0,4,2,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Athletic Club,1,3,6,0,1,4,7,4,4,1,1,1,3,0,3,1,4,2,4,0,4,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Real Madrid,1,1,3,3,2,1,3,1,2,2,4,2,3,4,2,1,2,4,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1939-40,Espanyol,1,3,1,2,3,3,4,3,2,0,2,1,2,5,0,3,0,0,2,0,5,1,,,,,,,,,,,,,,,,,,,,,,
1939-40,Hércules,3,3,6,1,4,3,5,0,1,0,1,1,1,0,2,1,3,0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Real Zaragoza,3,0,4,0,1,3,1,3,0,3,0,1,1,1,1,1,1,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,
1939-40,Valencia,3,0,1,2,1,2,1,1,2,2,1,4,0,3,1,3,2,4,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,
1939-40,Barcelona,0,2,4,0,2,1,5,0,1,1,3,1,2,1,1,0,2,0,2,0,1,3,,,,,,,,,,,,,,,,,,,,,,
1939-40,Celta de Vigo,2,1,1,2,4,5,1,2,3,1,4,5,0,4,1,2,2,2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
1939-40,Betis,0,0,1,0,0,4,0,3,2,2,2,0,1,0,1,3,0,0,3,2,0,2,,,,,,,,,,,,,,,,,,,,,,
1939-40,Racing de Santander,1,2,2,3,2,1,2,1,4,0,2,0,2,3,2,1,6,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Atlético Aviación,5,1,3,5,4,1,3,3,1,5,3,2,6,4,1,4,2,1,7,3,3,3,,,,,,,,,,,,,,,,,,,,,,
1940-41,Athletic Club,2,0,0,0,1,2,2,6,1,0,3,5,2,4,1,6,2,4,3,3,2,0,,,,,,,,,,,,,,,,,,,,,,
1940-41,Valencia,2,3,3,1,2,3,1,5,2,3,1,0,3,4,2,6,2,3,3,5,5,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Barcelona,1,4,1,3,4,2,1,2,3,3,1,4,1,2,3,2,1,7,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Sevilla,11,4,10,2,4,1,8,1,1,1,3,0,4,1,3,3,3,0,5,1,1,3,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Madrid,1,5,1,4,2,3,1,4,0,0,6,6,3,1,2,1,2,2,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Espanyol,5,1,2,1,1,3,2,3,1,3,4,3,4,1,3,2,3,0,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Oviedo,0,0,4,2,0,1,3,1,5,0,4,3,1,1,2,0,0,0,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,
1940-41,Hércules,4,3,1,2,0,0,3,3,2,3,0,0,0,0,1,0,1,1,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,
1940-41,Celta de Vigo,4,7,3,2,5,1,1,0,6,0,2,0,1,3,0,0,1,1,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,
1940-41,Real Zaragoza,1,0,2,0,1,7,1,0,4,1,0,0,2,0,1,0,0,1,0,3,0,2,,,,,,,,,,,,,,,,,,,,,,
1940-41,Murcia,0,1,1,1,1,2,3,1,1,3,1,0,0,3,1,3,2,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,
1941-42,Valencia,0,6,2,1,4,2,1,5,2,7,1,7,3,0,3,5,3,4,3,8,1,6,3,2,3,3,,,,,,,,,,,,,,,,,,
1941-42,Real Madrid,3,5,0,4,0,0,2,9,2,1,4,0,5,6,1,3,2,3,2,1,3,2,0,2,4,1,,,,,,,,,,,,,,,,,,
1941-42,Atlético Aviación,3,3,4,4,3,2,2,0,5,2,0,2,0,1,0,2,4,1,5,0,2,1,2,1,1,0,,,,,,,,,,,,,,,,,,
1941-42,Deportivo de La Coruña,2,2,2,1,1,0,3,1,2,1,0,2,1,0,3,2,4,0,0,2,1,0,1,2,2,1,,,,,,,,,,,,,,,,,,
1941-42,Celta de Vigo,1,3,2,2,2,2,3,4,1,0,2,3,6,3,0,1,0,1,1,1,3,4,0,3,3,2,,,,,,,,,,,,,,,,,,
1941-42,Sevilla,10,1,7,1,2,2,4,1,3,1,1,1,1,0,4,0,6,1,2,1,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,
1941-42,Athletic Club,2,0,1,1,4,3,2,6,1,1,1,2,1,1,10,2,2,1,1,6,2,0,1,2,0,2,,,,,,,,,,,,,,,,,,
1941-42,Castellón,1,1,4,2,4,3,0,1,2,0,3,2,1,1,1,4,4,1,2,2,0,2,5,3,4,1,,,,,,,,,,,,,,,,,,
